001000964,영천IC,경부고속도로,0010,128951416.3,35922419.4,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
001004210,반포IC,경부고속도로,0010,127018518.2,37503065.2,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
001004217,잠원IC,경부고속도로,0010,127016220.6,37509227.2,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
012100000,무안공항IC,무안광주고속도로,0121,126390735.3,35002509.8,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
014000000,고창JC,고창담양고속도로,0140,126653063.3,35417178.3,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
017000218,정남IC,평택오산고속도로,0170,126971219.5,37184612.5,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
017000271,봉담IC,평택오산고속도로,0170,126956593.9,37229322.7,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
020700609,장수JC,익산포항고속도로,0207,129233274.5,36063269.45,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
025201792,남논산TG,천안논산고속도로,0252,127080250.6,36102839.8,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
025202026,연무IC,천안논산고속도로,0252,127060269.9,36147684.5,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
025202198,서논산IC,천안논산고속도로,0252,127053053.3,36224738.3,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
025202198,탄천IC,천안논산고속도로,0252,127067299.9,36298859.7,1287213263,예제IC~예제IC 75km/h 10분 소요,예제IC~예제IC 75km/h 10분 소요,50,50,reserved1,reserved2
